MetaMessage('set_tempo', tempo=500000, time=0)
program_change channel=0 program=0 time=0
note_on channel=0 note=87 velocity=22 time=0
note_on channel=0 note=56 velocity=20 time=1
note_on channel=0 note=84 velocity=25 time=1
note_on channel=0 note=80 velocity=16 time=2
note_off channel=0 note=56 velocity=64 time=3
note_off channel=0 note=80 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=84 velocity=35 time=10
note_on channel=0 note=63 velocity=20 time=1
note_on channel=0 note=72 velocity=33 time=0
note_on channel=0 note=87 velocity=15 time=0
note_on channel=0 note=91 velocity=36 time=0
note_on channel=0 note=94 velocity=32 time=0
note_on channel=0 note=75 velocity=28 time=1
note_on channel=0 note=60 velocity=26 time=1
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=82 velocity=23 time=0
note_on channel=0 note=100 velocity=12 time=0
note_off channel=0 note=87 velocity=64 time=1
note_on channel=0 note=88 velocity=31 time=0
note_off channel=0 note=63 velocity=64 time=2
note_off channel=0 note=84 velocity=64 time=1
note_off channel=0 note=88 velocity=64 time=0
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=1
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_on channel=0 note=56 velocity=24 time=11
note_on channel=0 note=87 velocity=27 time=0
note_on channel=0 note=92 velocity=11 time=0
note_on channel=0 note=84 velocity=28 time=1
note_on channel=0 note=80 velocity=22 time=2
note_off channel=0 note=56 velocity=64 time=4
note_off channel=0 note=80 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=92 velocity=64 time=0
note_on channel=0 note=63 velocity=25 time=10
note_on channel=0 note=75 velocity=31 time=1
note_on channel=0 note=91 velocity=33 time=0
note_on channel=0 note=94 velocity=40 time=0
note_on channel=0 note=72 velocity=25 time=1
note_on channel=0 note=84 velocity=26 time=0
note_on channel=0 note=82 velocity=28 time=1
note_on channel=0 note=87 velocity=32 time=0
note_on channel=0 note=70 velocity=15 time=1
note_on channel=0 note=60 velocity=18 time=1
note_on channel=0 note=79 velocity=35 time=0
